tier,alpha,bottle,cup,bowl,book,banana,apple,orange,carrot,cake,donut,sports ball,vase
alpha_0.2,0.2,0.5862,0.1429,0.36,0.2222,0.0952,0.0968,0.0,0.0,0.4444,0.0,0.6452,0.0714
alpha_0.4,0.4,0.4423,0.2586,0.2258,0.2653,0.2,0.1803,0.0536,0.0,0.5273,0.0,0.5306,0.0588
alpha_0.6,0.6,0.4342,0.1833,0.3582,0.2576,0.2206,0.0933,0.0159,0.0,0.3913,0.0,0.493,0.087
alpha_0.8,0.8,0.4904,0.2706,0.3673,0.2211,0.1959,0.1359,0.102,0.0,0.4889,0.0,0.4948,0.0538
alpha_1.0,1.0,0.4309,0.2339,0.3252,0.1795,0.1885,0.1074,0.0388,0.0,0.4688,0.0,0.5492,0.0336
real,,0.6842,0.5789,0.7165,0.0175,0.2683,0.2059,0.1579,0.0714,0.5417,0.0,0.25,0.5349
